regiao;data;obitosAcumulado
Norte;2020-03-15;0
Norte;2020-03-16;0
Norte;2020-03-17;0
Norte;2020-03-18;0
Norte;2020-03-19;0
Norte;2020-03-20;0
Norte;2020-03-21;0
Norte;2020-03-22;0
Norte;2020-03-23;0
Norte;2020-03-24;0
Norte;2020-03-25;1
Norte;2020-03-26;1
Norte;2020-03-27;1
Norte;2020-03-28;1
Norte;2020-03-29;1
Norte;2020-03-30;1
Norte;2020-03-31;4
Norte;2020-04-01;5
Norte;2020-04-02;5
Norte;2020-04-03;9
Norte;2020-04-04;16
Norte;2020-04-05;19
Norte;2020-04-06;26
Norte;2020-04-07;33
Norte;2020-04-08;42
Norte;2020-04-09;54
Norte;2020-04-10;68
Norte;2020-04-11;73
Norte;2020-04-12;87
Norte;2020-04-13;99
Norte;2020-04-14;123
Norte;2020-04-15;143
Norte;2020-04-16;169
Norte;2020-04-17;193
Norte;2020-04-18;216
Norte;2020-04-19;241
Norte;2020-04-20;249
Norte;2020-04-21;260
Norte;2020-04-22;281
Norte;2020-04-23;323
Norte;2020-04-24;369
Norte;2020-04-25;415
Norte;2020-04-26;452
Norte;2020-04-27;490
Norte;2020-04-28;543
Norte;2020-04-29;589
Norte;2020-04-30;712
Norte;2020-05-01;796
Norte;2020-05-02;871
Norte;2020-05-03;963
Norte;2020-05-04;1033
Norte;2020-05-05;1149
Norte;2020-05-06;1287
Norte;2020-05-07;1373
Norte;2020-05-08;1557
Norte;2020-05-09;1716
Norte;2020-05-10;1844
Norte;2020-05-11;1944
Norte;2020-05-12;2190
Norte;2020-05-13;2352
Norte;2020-05-14;2570
Norte;2020-05-15;2762
Norte;2020-05-16;2886
Norte;2020-05-17;2987
Norte;2020-05-18;3125
Norte;2020-05-19;3404
Norte;2020-05-20;3608
Norte;2020-05-21;3921
Norte;2020-05-22;4079
Norte;2020-05-23;4241
Norte;2020-05-24;4418
Norte;2020-05-25;4683
Norte;2020-05-26;4898
Norte;2020-05-27;5036
Norte;2020-05-28;5300
Norte;2020-05-29;5565
Norte;2020-05-30;5843
Norte;2020-05-31;6135
Norte;2020-06-01;6442
Norte;2020-06-02;6764
Norte;2020-06-03;7102
Norte;2020-06-04;7457
Norte;2020-06-05;7830
Norte;2020-06-06;8222
Norte;2020-06-07;8633
Norte;2020-06-08;9065
Norte;2020-06-09;9518
Norte;2020-06-10;9994
Norte;2020-06-11;10494
Norte;2020-06-12;11019
Norte;2020-06-13;11570
Norte;2020-06-14;12149
Norte;2020-06-15;12756
Nordeste;2020-03-06;0
Nordeste;2020-03-07;0
Nordeste;2020-03-08;0
Nordeste;2020-03-09;0
Nordeste;2020-03-10;0
Nordeste;2020-03-11;0
Nordeste;2020-03-12;0
Nordeste;2020-03-13;0
Nordeste;2020-03-14;0
Nordeste;2020-03-15;0
Nordeste;2020-03-16;0
Nordeste;2020-03-17;0
Nordeste;2020-03-18;0
Nordeste;2020-03-19;0
Nordeste;2020-03-20;0
Nordeste;2020-03-21;0
Nordeste;2020-03-22;0
Nordeste;2020-03-23;0
Nordeste;2020-03-24;0
Nordeste;2020-03-25;1
Nordeste;2020-03-26;6
Nordeste;2020-03-27;7
Nordeste;2020-03-28;10
Nordeste;2020-03-29;13
Nordeste;2020-03-30;17
Nordeste;2020-03-31;22
Nordeste;2020-04-01;27
Nordeste;2020-04-02;43
Nordeste;2020-04-03;51
Nordeste;2020-04-04;59
Nordeste;2020-04-05;78
Nordeste;2020-04-06;92
Nordeste;2020-04-07;103
Nordeste;2020-04-08;141
Nordeste;2020-04-09;173
Nordeste;2020-04-10;194
Nordeste;2020-04-11;219
Nordeste;2020-04-12;246
Nordeste;2020-04-13;287
Nordeste;2020-04-14;326
Nordeste;2020-04-15;377
Nordeste;2020-04-16;412
Nordeste;2020-04-17;479
Nordeste;2020-04-18;533
Nordeste;2020-04-19;579
Nordeste;2020-04-20;626
